Portfolio_ID,Manager_Name,Portfolio_Type,Assets_Under_Management_Million,Region,Risk_Exposure_Score,Diversification_Score,Style_Drift_Score,Governance_Compliance_Score,Overall_Risk_Level,Performance_Indicator,GIPS_Compliant,UCITS_Compliant,AIFMD_Compliant,Audit_Report_Generated,Flagged_For_Review,Flag_Reason
PORT_a397ab97,Brandon Fuller,Real Assets,8404.4,Asia-Pacific,0.5,0.88,0.22,0.53,Low,Below Benchmark,No,Yes,Yes,No,Yes,Diversification Breach
PORT_0ed24d8f,Harold Perez,Hedge Fund,1153.93,Global,0.76,0.44,0.36,0.49,Low,Above Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_2f08fb85,Misty Stout,Equity,4151.62,Asia-Pacific,0.55,0.04,0.94,0.73,Moderate,Meeting Benchmark,No,Yes,No,Yes,Yes,Style Drift
PORT_f114b751,Wendy Maynard,Balanced,2159.51,U.S.,0.75,0.79,0.47,0.41,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_428e7717,Cynthia Webb,Equity,2903.52,Global,0.73,0.91,0.13,0.46,Moderate,Meeting Benchmark,Yes,No,No,No,Yes,None
PORT_984a6482,William Wallace,Hedge Fund,9369.35,U.S.,0.51,0.89,0.09,0.66,High,Above Benchmark,Yes,No,Yes,No,No,None
PORT_1948c0b5,Amanda Taylor,Fixed Income,8521.0,U.S.,0.16,0.79,0.33,0.1,Low,Below Benchmark,No,Yes,No,Yes,Yes,None
PORT_1d29cf5b,David Bell,Hedge Fund,6972.18,EU,0.67,0.36,0.96,0.82,Low,Above Benchmark,No,No,Yes,Yes,Yes,Style Drift
PORT_4e443e73,Jeffrey Fisher,Balanced,3307.45,Global,0.35,0.23,0.06,0.55,Low,Above Benchmark,No,Yes,Yes,Yes,No,None
PORT_eec8c632,Arthur Kelly,Real Assets,8951.87,Asia-Pacific,0.92,0.98,0.56,0.37,Low,Below Benchmark,Yes,No,No,No,No,None
PORT_bebf217e,Jeffrey Smith,Equity,8014.7,U.S.,0.65,0.08,0.72,0.61,Moderate,Above Benchmark,Yes,No,Yes,Yes,No,None
PORT_9b314ffb,Angel Benson,Balanced,4302.34,Global,0.28,0.89,0.98,0.16,Low,Below Benchmark,Yes,Yes,Yes,No,No,None
PORT_f702d436,William Baker,Real Assets,1058.88,U.S.,0.89,0.07,0.06,0.25,Low,Below Benchmark,No,Yes,No,Yes,Yes,Diversification Breach
PORT_1e028617,Paul Rogers,Equity,9752.85,Asia-Pacific,0.29,0.8,0.87,0.98,Moderate,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_3317a492,Mark Booker,Hedge Fund,8381.27,Asia-Pacific,0.94,0.18,0.9,0.39,Moderate,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_9c8331ec,Jennifer Robbins,Equity,1787.78,Asia-Pacific,0.42,0.78,0.39,0.31,Low,Above Benchmark,No,No,Yes,Yes,No,None
PORT_921f93df,Jacqueline Young,Balanced,5994.59,Asia-Pacific,0.99,0.67,0.31,0.88,Low,Below Benchmark,Yes,No,Yes,No,No,None
PORT_6a84fcfb,Shawn Brown,Fixed Income,6677.43,EU,0.9,0.06,0.58,0.19,High,Meeting Benchmark,No,No,Yes,Yes,Yes,Diversification Breach
PORT_97cb0207,Kimberly Thomas,Real Assets,9261.88,U.S.,0.21,0.04,0.86,0.53,High,Above Benchmark,No,No,No,No,Yes,Style Drift
PORT_69882c3b,Sydney Parsons,Hedge Fund,9743.9,U.S.,0.09,0.22,0.66,0.64,High,Meeting Benchmark,No,No,No,No,No,None
PORT_bf0ef7f9,Cameron Proctor,Fixed Income,5358.43,U.S.,0.99,0.93,0.89,0.6,Low,Meeting Benchmark,Yes,No,Yes,No,No,None
PORT_487ca440,Lori Pham,Hedge Fund,3766.07,Asia-Pacific,0.83,0.76,1.0,0.65,Moderate,Above Benchmark,Yes,Yes,No,Yes,Yes,Conflict of Interest
PORT_96d7a808,Antonio Taylor,Hedge Fund,8032.15,Global,0.66,0.9,0.98,0.62,Low,Meeting Benchmark,No,Yes,Yes,No,No,None
PORT_f7342486,Hannah Pitts,Fixed Income,8802.03,Global,0.34,0.94,0.63,0.42,High,Below Benchmark,No,No,Yes,Yes,No,None
PORT_7817b96b,Veronica Barnett,Real Assets,7126.2,EU,0.37,0.04,0.15,0.65,High,Meeting Benchmark,No,Yes,Yes,Yes,Yes,Style Drift
PORT_6516621b,Rick Johnson,Hedge Fund,5026.33,U.S.,0.47,0.28,0.99,0.5,Moderate,Above Benchmark,Yes,No,No,No,No,None
PORT_1c119f2b,Shelby Robertson,Hedge Fund,8654.66,U.S.,0.98,0.44,0.01,0.04,Moderate,Below Benchmark,No,Yes,No,No,No,None
PORT_60f8d49a,Jonathan Gardner,Equity,1887.31,Global,0.2,0.68,0.47,0.64,Low,Below Benchmark,Yes,No,No,No,No,None
PORT_7163c311,Steven Peterson,Balanced,2097.98,U.S.,0.12,0.13,0.52,0.6,High,Below Benchmark,No,No,Yes,Yes,No,None
PORT_0e23e6da,Jonathan Harris,Balanced,6994.93,Global,0.12,0.07,0.51,0.38,Low,Below Benchmark,Yes,Yes,No,Yes,Yes,Diversification Breach
PORT_71a9fea7,James Mays,Hedge Fund,8190.26,Global,0.93,0.44,0.45,0.04,Low,Above Benchmark,No,No,No,No,Yes,Style Drift
PORT_73d2d7c8,Craig Gonzalez,Equity,3364.49,EU,0.12,0.44,0.5,0.03,Low,Below Benchmark,No,No,Yes,No,No,None
PORT_3c572b66,Stephanie Lee DDS,Balanced,2302.59,U.S.,0.62,0.84,0.21,0.24,Moderate,Meeting Benchmark,Yes,No,Yes,Yes,No,None
PORT_f38d2a5d,Evan Peterson,Balanced,4786.5,Global,0.46,0.91,0.44,0.91,Low,Meeting Benchmark,No,No,Yes,No,No,None
PORT_1985c534,Tanya Lamb,Real Assets,6146.3,EU,0.23,0.06,0.7,0.79,Moderate,Meeting Benchmark,No,Yes,No,Yes,No,None
PORT_135fbf1a,Rachel Webb,Fixed Income,9085.01,Global,0.81,0.98,0.58,0.55,Moderate,Below Benchmark,Yes,Yes,No,Yes,No,None
PORT_7fb5f03c,Paula Scott,Hedge Fund,1587.1,Global,0.27,0.23,0.82,0.3,High,Meeting Benchmark,Yes,No,Yes,No,Yes,Conflict of Interest
PORT_7eb4e471,Laura Tucker,Balanced,6245.37,EU,0.33,0.1,0.04,0.22,Low,Below Benchmark,No,Yes,Yes,Yes,Yes,Diversification Breach
PORT_d507555e,Danny Mason,Fixed Income,6561.92,Global,0.89,0.24,0.31,0.45,Low,Meeting Benchmark,No,No,Yes,No,No,None
PORT_0607ddac,Mark Villanueva,Hedge Fund,7268.98,EU,0.91,0.14,0.23,0.74,Moderate,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_f9df85df,Lisa Simpson,Equity,989.73,EU,0.7,0.5,0.77,0.93,Moderate,Above Benchmark,Yes,No,Yes,No,No,None
PORT_f9586fa7,Barbara Williams,Balanced,2696.84,EU,0.62,0.98,0.01,0.71,Low,Below Benchmark,No,No,Yes,Yes,No,None
PORT_05b511a6,Heidi Caldwell,Real Assets,766.79,Asia-Pacific,0.1,0.45,0.02,0.27,Low,Below Benchmark,No,No,Yes,No,No,None
PORT_a6d1a28d,Ian Townsend,Balanced,3758.83,U.S.,0.23,0.36,0.93,0.25,High,Meeting Benchmark,Yes,Yes,Yes,No,No,None
PORT_d59039cc,Paul Hoover,Hedge Fund,4501.97,EU,0.18,0.18,0.68,0.21,Moderate,Above Benchmark,Yes,No,No,No,No,None
PORT_999aa97a,William Brown,Hedge Fund,5369.05,Global,0.69,0.01,0.92,0.98,Low,Meeting Benchmark,Yes,Yes,No,No,Yes,Conflict of Interest
PORT_e7d7c6fb,Jonathan Calderon,Real Assets,3237.2,U.S.,0.65,0.34,0.98,0.05,Low,Below Benchmark,Yes,No,Yes,No,No,None
PORT_28742977,Justin Richardson,Fixed Income,5330.37,EU,0.64,0.78,0.55,0.06,High,Below Benchmark,No,No,Yes,Yes,Yes,Diversification Breach
PORT_53e585a7,Barbara Baker,Hedge Fund,9996.5,Asia-Pacific,0.89,0.91,0.17,0.42,Moderate,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_0b7652e1,Erica Raymond,Fixed Income,1074.21,Global,0.04,0.86,0.84,0.91,Moderate,Above Benchmark,Yes,Yes,Yes,Yes,Yes,None
PORT_c1d8652c,James Rodriguez,Real Assets,6284.42,Asia-Pacific,0.64,0.19,0.8,0.81,High,Above Benchmark,Yes,Yes,Yes,Yes,Yes,None
PORT_fe0c078d,Tracey Nguyen,Balanced,2832.42,Global,0.29,0.54,0.39,0.13,Low,Above Benchmark,No,Yes,No,Yes,No,None
PORT_036004ca,Deborah Gonzales,Equity,7138.46,U.S.,0.37,0.76,0.56,0.65,Moderate,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_45490746,Danielle Vaughn,Balanced,6436.83,EU,0.44,0.63,0.2,0.33,Moderate,Meeting Benchmark,No,No,No,No,No,None
PORT_3aa91fb9,Susan Hill,Real Assets,696.01,EU,0.14,0.43,0.05,0.36,High,Below Benchmark,Yes,Yes,No,Yes,Yes,None
PORT_abdb4bcf,Catherine Smith,Fixed Income,1753.01,EU,0.26,0.44,0.92,0.51,Moderate,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_08836d1b,Morgan Woods,Fixed Income,2506.37,Global,0.34,0.2,0.39,0.56,Low,Meeting Benchmark,No,No,Yes,No,No,None
PORT_cad82088,Zachary Thomas,Balanced,5375.08,U.S.,0.19,0.44,0.34,0.46,High,Above Benchmark,Yes,No,Yes,Yes,Yes,Diversification Breach
PORT_f29fad7e,Stephanie Walker,Fixed Income,7172.29,U.S.,0.13,0.65,0.88,0.24,Low,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_9a24652e,Julie Lam,Real Assets,1422.09,EU,0.74,0.5,0.48,0.99,High,Above Benchmark,Yes,No,Yes,No,No,None
PORT_825db6bb,Patricia Roberts,Equity,1469.58,Global,0.58,0.23,0.56,0.25,Low,Above Benchmark,Yes,No,No,Yes,Yes,Conflict of Interest
PORT_263aeeef,Vicki Flores,Equity,6829.6,Asia-Pacific,0.92,0.97,0.12,0.51,Moderate,Above Benchmark,Yes,No,Yes,No,No,None
PORT_7f185c86,Michael Brown,Balanced,9147.07,EU,0.56,0.49,0.07,0.77,Low,Above Benchmark,No,No,Yes,Yes,No,None
PORT_2afb41ca,Christopher Perry,Fixed Income,9621.74,EU,0.13,0.7,0.88,0.16,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_639a9a9d,Lawrence Crawford,Balanced,8516.5,U.S.,0.26,0.67,0.8,0.46,Low,Above Benchmark,No,Yes,No,No,Yes,Style Drift
PORT_a43bf050,Anthony Warren,Real Assets,9412.34,EU,0.2,0.22,0.65,0.31,Low,Below Benchmark,Yes,No,No,Yes,No,None
PORT_261b2180,Tammy Franco,Balanced,3257.31,Asia-Pacific,0.67,0.55,0.55,0.02,High,Above Benchmark,No,Yes,Yes,No,No,None
PORT_c7174d13,Sean Mcdonald,Fixed Income,9670.66,Global,0.72,0.12,0.88,0.14,Low,Above Benchmark,Yes,No,No,Yes,No,None
PORT_e5f88a26,Brandon Ramos,Hedge Fund,2991.79,EU,0.92,0.87,0.75,0.89,Moderate,Below Benchmark,No,Yes,No,Yes,No,None
PORT_cda62f97,Diana Lee,Real Assets,2192.43,U.S.,0.21,0.87,0.17,0.86,Moderate,Above Benchmark,No,Yes,No,Yes,No,None
PORT_47e6ad32,Andrea Ayers,Fixed Income,4209.22,Global,0.75,0.01,0.5,0.01,High,Above Benchmark,No,No,Yes,No,No,None
PORT_2e201962,Rick Rodriguez,Equity,7273.69,EU,0.98,0.88,0.23,0.86,Moderate,Below Benchmark,Yes,No,Yes,Yes,No,None
PORT_664b3056,Pamela Graham,Fixed Income,270.15,EU,0.12,0.18,0.79,0.85,High,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_a5ad00e2,Johnny Lee,Hedge Fund,6703.64,Asia-Pacific,0.18,0.42,0.49,0.02,High,Meeting Benchmark,No,Yes,No,No,No,None
PORT_4ba0fe64,David Johnson,Real Assets,238.48,EU,0.17,0.9,0.79,0.5,Moderate,Above Benchmark,No,No,No,No,No,None
PORT_5e6baa1d,Angel Ho,Equity,7705.84,Global,0.7,0.88,0.89,0.37,High,Above Benchmark,Yes,No,No,No,No,None
PORT_2fc499a1,Matthew Payne,Hedge Fund,2256.92,Global,0.12,0.55,0.38,0.1,Low,Above Benchmark,Yes,Yes,Yes,Yes,Yes,None
PORT_b12a414e,Todd Cross,Balanced,7556.38,EU,0.58,0.01,0.56,0.44,Low,Above Benchmark,No,No,No,No,No,None
PORT_67224fc6,Jessica Carter,Hedge Fund,9879.07,Global,0.39,0.96,0.78,0.94,Moderate,Meeting Benchmark,Yes,No,Yes,Yes,No,None
PORT_69e25e2b,Brian Lambert,Equity,9074.61,EU,0.61,0.93,0.1,0.31,Moderate,Meeting Benchmark,No,Yes,No,Yes,No,None
PORT_6b1b926d,Christy Johnson,Real Assets,442.44,Asia-Pacific,0.28,0.03,0.06,0.06,High,Above Benchmark,No,Yes,Yes,Yes,No,None
PORT_da314173,Christian Walker,Real Assets,6892.62,Global,0.52,0.13,0.27,0.34,Moderate,Below Benchmark,Yes,Yes,Yes,No,No,None
PORT_3702c8aa,Matthew Hamilton,Fixed Income,242.38,Asia-Pacific,0.42,0.5,0.98,0.28,High,Above Benchmark,Yes,No,Yes,No,No,None
PORT_1ba954de,Jeanette Terrell,Balanced,3266.84,Asia-Pacific,0.87,0.97,0.05,0.64,High,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_2c0e9211,Andrew Taylor DDS,Balanced,9137.87,EU,0.47,0.71,0.75,0.56,High,Above Benchmark,No,No,No,No,No,None
PORT_e8c3cee9,Beth Stevens,Hedge Fund,4911.9,U.S.,0.59,0.64,0.9,0.55,High,Below Benchmark,No,Yes,No,No,No,None
PORT_924d09b9,Kristen Smith,Hedge Fund,3605.06,Asia-Pacific,0.7,0.63,0.66,0.21,Low,Below Benchmark,Yes,No,Yes,No,Yes,Diversification Breach
PORT_e55b7001,Donna Lewis,Fixed Income,5175.68,EU,0.06,0.21,0.16,0.05,High,Above Benchmark,Yes,Yes,Yes,No,No,None
PORT_f9d4399e,Ashley Gallegos,Hedge Fund,8097.89,Asia-Pacific,0.18,0.05,0.43,0.24,High,Above Benchmark,No,Yes,Yes,Yes,Yes,Diversification Breach
PORT_dcae398a,Leslie Nguyen,Real Assets,931.73,EU,0.68,0.75,0.44,0.52,Moderate,Above Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_56eb55f1,Michael Chung,Fixed Income,2132.24,U.S.,0.88,0.6,0.4,0.78,Moderate,Below Benchmark,No,Yes,Yes,No,Yes,None
PORT_dade4eb5,Cameron Alvarez,Fixed Income,1153.37,Global,0.35,0.2,0.33,0.13,Low,Meeting Benchmark,Yes,No,Yes,No,No,None
PORT_3cbfe40a,Abigail Mccormick,Real Assets,3753.58,Global,0.82,0.93,0.55,0.9,Low,Below Benchmark,No,No,No,No,No,None
PORT_057d173f,Andrew Thomas,Balanced,9154.28,Global,0.89,0.58,0.34,0.38,Moderate,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_3a4d9d04,Timothy Stanley,Balanced,5770.61,Global,0.72,0.48,0.18,0.93,Low,Above Benchmark,No,Yes,No,Yes,No,None
PORT_fa4d59e8,Christian Murray,Fixed Income,3295.99,Asia-Pacific,0.64,0.13,0.86,0.75,Low,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_7a205631,Michael Howard,Hedge Fund,8478.18,Global,0.31,0.21,0.09,0.85,Low,Below Benchmark,No,Yes,Yes,Yes,No,None
PORT_8dc7f37f,Sally Montoya,Hedge Fund,8092.09,U.S.,0.82,0.23,0.38,0.93,High,Above Benchmark,No,No,Yes,No,No,None
PORT_71a095bf,Jeffrey Powers,Fixed Income,3460.37,Asia-Pacific,0.72,0.36,0.34,0.62,Moderate,Meeting Benchmark,Yes,Yes,No,No,Yes,Diversification Breach
PORT_7d1b1265,Adam Murphy,Hedge Fund,1636.72,Asia-Pacific,0.38,0.78,0.17,0.34,Low,Below Benchmark,No,No,No,No,Yes,Conflict of Interest
PORT_ae8f4002,Richard Briggs,Real Assets,2454.36,Asia-Pacific,0.68,0.17,0.81,0.04,High,Above Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_61e69d19,Austin Middleton,Fixed Income,994.75,EU,0.54,0.5,0.02,0.95,Low,Above Benchmark,Yes,No,Yes,Yes,No,None
PORT_b4646848,Calvin Sparks,Equity,8947.74,Global,0.64,0.84,0.97,0.71,Low,Meeting Benchmark,No,No,No,No,No,None
PORT_b298605a,Lisa Saunders,Equity,7039.05,Asia-Pacific,0.56,0.92,0.48,0.03,Moderate,Meeting Benchmark,No,No,Yes,No,No,None
PORT_a2e9c82d,Sarah Baker,Hedge Fund,2640.17,Asia-Pacific,0.84,0.03,0.71,0.98,Moderate,Above Benchmark,No,No,Yes,No,No,None
PORT_1fc8c834,William Richardson,Hedge Fund,5912.13,Asia-Pacific,0.71,0.81,0.47,0.96,Moderate,Below Benchmark,No,No,No,No,No,None
PORT_4fdf8078,Sarah Mcdowell,Hedge Fund,7514.1,EU,0.59,0.03,0.98,0.93,Moderate,Above Benchmark,No,No,Yes,No,No,None
PORT_6def26c5,Hannah Vaughn,Real Assets,1076.3,EU,0.76,0.28,0.36,0.48,Low,Meeting Benchmark,No,Yes,No,Yes,No,None
PORT_6ab31fd8,Gregory Blake,Real Assets,4189.38,U.S.,0.53,0.97,0.27,0.65,High,Above Benchmark,No,No,Yes,No,No,None
PORT_b3607f11,Angela Ball,Equity,4756.49,Asia-Pacific,0.49,0.11,0.45,0.22,Moderate,Above Benchmark,No,Yes,No,No,No,None
PORT_ecbb08df,Jill Garcia,Fixed Income,2674.99,EU,0.1,0.5,0.27,0.6,Moderate,Above Benchmark,No,Yes,Yes,No,No,None
PORT_bc5c732a,Nichole Gonzalez,Balanced,1488.05,U.S.,0.58,0.08,0.1,0.72,Low,Below Benchmark,No,Yes,Yes,Yes,No,None
PORT_51a0bf20,Andrea Harris,Balanced,3505.25,U.S.,0.55,0.38,0.46,0.88,High,Meeting Benchmark,No,Yes,No,No,No,None
PORT_ce31111c,Richard Campbell,Equity,7387.36,Global,0.29,0.13,0.44,0.5,High,Below Benchmark,No,Yes,No,No,No,None
PORT_bb46633f,Victoria Martin,Real Assets,1143.4,Global,0.07,0.59,0.04,0.02,High,Above Benchmark,No,Yes,Yes,Yes,No,None
PORT_987c8ad7,Nicholas Duran,Fixed Income,7349.24,U.S.,0.46,0.87,0.82,0.93,Moderate,Above Benchmark,Yes,Yes,Yes,Yes,Yes,Style Drift
PORT_ce77516e,Megan Deleon,Fixed Income,7507.24,Asia-Pacific,0.86,0.12,0.31,0.29,Low,Above Benchmark,Yes,No,No,No,No,None
PORT_1e78b712,Brian Cooke,Fixed Income,7897.91,Asia-Pacific,0.11,0.24,0.23,0.08,High,Above Benchmark,No,No,No,Yes,No,None
PORT_4949a070,Debra Orozco,Balanced,4038.47,Asia-Pacific,0.59,0.77,0.18,0.76,Moderate,Below Benchmark,No,Yes,No,No,No,None
PORT_506f6a8f,Anthony Scott,Real Assets,2759.54,Asia-Pacific,0.4,0.95,0.92,0.25,Moderate,Above Benchmark,Yes,Yes,Yes,No,No,None
PORT_44f10d40,Jason Oliver,Fixed Income,4851.16,Asia-Pacific,0.5,0.23,0.77,0.87,Moderate,Below Benchmark,Yes,No,Yes,Yes,No,None
PORT_ef833e1d,Kristen Wilson,Fixed Income,540.0,EU,0.94,0.23,0.42,0.73,High,Below Benchmark,Yes,No,No,Yes,No,None
PORT_ec02fde1,Vanessa Rivera,Balanced,5468.73,U.S.,0.72,0.35,0.32,0.0,Moderate,Meeting Benchmark,No,No,Yes,No,No,None
PORT_f0900f34,Margaret Gill,Real Assets,6964.54,EU,0.25,0.11,0.48,0.98,High,Meeting Benchmark,No,Yes,Yes,Yes,Yes,Conflict of Interest
PORT_34aadbde,Jessica Young,Hedge Fund,6102.85,U.S.,0.58,0.01,0.9,0.87,High,Above Benchmark,No,No,No,Yes,No,None
PORT_2e018791,Brian Garcia,Balanced,1357.05,Asia-Pacific,0.41,0.78,0.42,0.8,Low,Above Benchmark,No,Yes,Yes,No,Yes,Style Drift
PORT_526a213e,Sara Roth,Equity,654.88,Global,0.87,0.61,0.73,0.62,High,Above Benchmark,No,Yes,No,No,No,None
PORT_7a683501,Heather Craig,Real Assets,3652.18,Asia-Pacific,0.72,0.28,0.01,0.85,Low,Below Benchmark,Yes,No,Yes,No,No,None
PORT_f1f6c017,Brandi Smith,Balanced,2167.0,EU,0.8,0.97,0.77,0.52,High,Below Benchmark,Yes,No,Yes,No,Yes,None
PORT_e9f4f09d,Thomas Aguirre,Equity,2249.68,Global,0.72,0.55,0.09,0.28,Moderate,Above Benchmark,No,No,No,Yes,Yes,None
PORT_0844052d,Ryan Thompson,Balanced,2361.51,U.S.,0.87,0.46,0.91,0.92,Moderate,Above Benchmark,Yes,No,No,No,No,None
PORT_63fc1c7e,Christopher Henson,Fixed Income,8074.17,Global,0.72,0.16,0.51,0.65,Low,Above Benchmark,Yes,Yes,No,Yes,Yes,Style Drift
PORT_767b5af4,Ana Johnson,Equity,8792.19,Asia-Pacific,0.05,0.22,0.48,0.98,High,Above Benchmark,No,Yes,Yes,No,No,None
PORT_665b4d18,Jennifer Carroll,Fixed Income,8889.44,Global,0.48,0.54,0.1,0.48,Moderate,Meeting Benchmark,No,Yes,Yes,No,No,None
PORT_30b2ffca,Kimberly Lopez,Real Assets,8552.36,U.S.,1.0,0.41,0.18,0.23,High,Above Benchmark,Yes,Yes,No,No,No,None
PORT_8c542ce9,Kyle Mueller,Equity,5744.66,Global,0.1,0.89,0.32,0.81,Low,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_7370bf6c,Alexander Thomas,Equity,941.57,EU,0.72,0.54,0.48,0.81,Low,Below Benchmark,Yes,No,Yes,Yes,No,None
PORT_1ae6232d,Tyrone Simmons,Equity,5634.4,Asia-Pacific,0.07,0.51,0.15,0.59,Moderate,Above Benchmark,No,Yes,Yes,Yes,Yes,None
PORT_e751eaff,Jay Cline PhD,Fixed Income,4150.13,Asia-Pacific,0.59,0.73,0.02,0.1,Low,Above Benchmark,Yes,Yes,Yes,No,No,None
PORT_7cfe182e,Maxwell Pierce,Fixed Income,5052.23,Global,0.22,0.49,0.78,0.42,High,Above Benchmark,Yes,Yes,Yes,No,No,None
PORT_8f83b351,Amy Lane,Hedge Fund,1418.37,EU,0.38,0.55,0.19,0.56,Moderate,Below Benchmark,No,No,Yes,Yes,No,None
PORT_ba573500,Keith Montoya,Real Assets,5514.63,EU,0.38,0.81,0.15,0.34,Low,Meeting Benchmark,Yes,No,No,No,No,None
PORT_2b2cc89f,Joseph Diaz,Real Assets,4866.95,U.S.,0.04,0.77,0.05,0.65,High,Below Benchmark,No,Yes,Yes,Yes,No,None
PORT_d811115c,Shannon Davis,Equity,2885.16,Global,0.75,0.58,0.84,0.44,High,Below Benchmark,No,No,Yes,Yes,Yes,Conflict of Interest
PORT_95fbefc1,Joseph Collins,Hedge Fund,1056.84,EU,0.76,0.84,0.35,0.53,High,Below Benchmark,No,No,Yes,No,No,None
PORT_9cd6c98f,Michael Moore,Hedge Fund,9116.47,EU,0.47,0.78,0.84,0.09,Moderate,Below Benchmark,No,No,No,No,No,None
PORT_c8a7ac12,Annette Klein,Balanced,8264.18,EU,0.52,0.84,0.2,0.06,Moderate,Above Benchmark,Yes,No,No,No,No,None
PORT_58f47eae,Rebecca Andrade,Balanced,2714.16,Asia-Pacific,0.0,0.23,0.15,0.62,Low,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_4e93ef0b,Felicia White,Balanced,5404.3,Asia-Pacific,0.09,0.71,0.94,0.55,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_90e26842,Valerie Barrett,Balanced,5151.45,U.S.,0.05,0.63,0.71,0.95,Low,Meeting Benchmark,No,Yes,No,Yes,No,None
