CardholderID,AccountNumber,CreditLimit,AvailableCredit,TotalSpentThisMonth,MinimumPayment,PaymentStatus,InterestRate,FeesCharged,RecentLargeTransactions,RiskScore,ComplianceIssues,LastPaymentDate,NextPaymentDueDate
195,349625132,17382,9862,7520,376.0,On-Time,0.25,0,No,81,None,2023-01-01,2023-01-02
196,295995197,5891,4472,1419,70.95,On-Time,0.14,15,No,55,None,2023-01-01,2023-01-02
197,672964792,6756,5443,1313,65.65,Late,0.24,0,No,88,UDAAP,2023-01-01,2023-01-02
198,553094388,18770,10901,7869,393.45,On-Time,0.16,35,No,59,TILA,2023-01-01,2023-01-02
199,621669253,19478,16522,2956,147.8,Very Late,0.16,25,No,56,None,2023-01-01,2023-01-02
200,987059227,5674,3753,1921,96.05,Late,0.15,25,No,75,None,2023-01-01,2023-01-02
201,330519835,9898,8516,1382,69.1,On-Time,0.18,25,No,83,None,2023-01-01,2023-01-02
202,901312299,13147,10573,2574,128.7,Late,0.12,0,No,79,Late Fee Issues,2023-01-01,2023-01-02
203,815154771,3793,2457,1336,66.8,Late,0.18,35,No,85,None,2023-01-01,2023-01-02
204,712286237,5116,2994,2122,106.1,Late,0.18,15,No,70,None,2023-01-01,2023-01-02
205,672434365,8779,7210,1569,78.45,On-Time,0.21,35,Yes,66,None,2023-01-01,2023-01-02
206,268973642,15298,13404,1894,94.7,Very Late,0.23,15,No,82,None,2023-01-01,2023-01-02
207,419309439,17153,17125,28,1.4,Very Late,0.17,0,No,59,None,2023-01-01,2023-01-02
208,346703609,14111,13406,705,35.25,On-Time,0.15,0,Yes,96,TILA,2023-01-01,2023-01-02
209,624363766,13789,12769,1020,51.0,Late,0.14,15,No,91,None,2023-01-01,2023-01-02
210,727457371,14397,12334,2063,103.15,On-Time,0.13,15,No,61,None,2023-01-01,2023-01-02
211,556545752,15999,14553,1446,72.3,On-Time,0.11,15,No,65,None,2023-01-01,2023-01-02
212,392072678,3814,2202,1612,80.6,On-Time,0.15,35,No,90,None,2023-01-01,2023-01-02
213,773573053,19729,12781,6948,347.4,Late,0.14,15,Yes,81,UDAAP,2023-01-01,2023-01-02
214,572669408,13541,9877,3664,183.2,On-Time,0.24,0,No,64,None,2023-01-01,2023-01-02
215,195057280,5443,3784,1659,82.95,Late,0.18,0,No,76,None,2023-01-01,2023-01-02
216,734324250,13457,9855,3602,180.1,On-Time,0.15,25,No,77,None,2023-01-01,2023-01-02
217,860672189,13380,8318,5062,253.1,Very Late,0.19,15,No,66,None,2023-01-01,2023-01-02
218,102235000,10783,7098,3685,184.25,On-Time,0.12,35,No,95,None,2023-01-01,2023-01-02
219,392121203,14473,8101,6372,318.6,On-Time,0.17,35,No,99,None,2023-01-01,2023-01-02
220,540529868,18328,11223,7105,355.25,Very Late,0.19,35,No,51,None,2023-01-01,2023-01-02
221,575584232,3827,2507,1320,66.0,Late,0.17,25,Yes,85,None,2023-01-01,2023-01-02
222,335283714,10147,6566,3581,179.05,Late,0.16,0,Yes,99,None,2023-01-01,2023-01-02
223,129859174,7451,4689,2762,138.1,On-Time,0.25,35,No,56,None,2023-01-01,2023-01-02
224,807191493,18343,17771,572,28.6,Very Late,0.23,0,No,62,None,2023-01-01,2023-01-02
225,146159303,16635,8930,7705,385.25,Late,0.19,25,Yes,64,None,2023-01-01,2023-01-02
226,246412954,8959,4871,4088,204.4,On-Time,0.19,15,No,74,Late Fee Issues,2023-01-01,2023-01-02
227,819024776,3126,2512,614,30.7,Very Late,0.19,15,Yes,72,Late Fee Issues,2023-01-01,2023-01-02
228,926506464,11795,7745,4050,202.5,Late,0.13,15,No,71,None,2023-01-01,2023-01-02
229,614817842,14641,14316,325,16.25,Late,0.16,35,No,75,None,2023-01-01,2023-01-02
230,183375337,10196,6456,3740,187.0,Very Late,0.11,15,Yes,82,None,2023-01-01,2023-01-02
231,476304299,14559,7541,7018,350.9,Very Late,0.17,35,No,60,None,2023-01-01,2023-01-02
232,928540878,6368,6010,358,17.9,Very Late,0.18,25,No,59,Late Fee Issues,2023-01-01,2023-01-02
233,822804538,6797,4987,1810,90.5,Very Late,0.13,25,No,74,None,2023-01-01,2023-01-02
234,414404213,18114,16393,1721,86.05,On-Time,0.24,35,No,86,None,2023-01-01,2023-01-02
235,180705119,16718,15369,1349,67.45,Very Late,0.24,0,No,97,Late Fee Issues,2023-01-01,2023-01-02
236,349546199,4792,4628,164,8.2,Late,0.21,15,No,92,Late Fee Issues,2023-01-01,2023-01-02
237,971959784,14053,12457,1596,79.8,Late,0.18,15,No,87,None,2023-01-01,2023-01-02
238,760721331,6476,4849,1627,81.35,On-Time,0.23,15,No,90,None,2023-01-01,2023-01-02
239,588035440,6417,3572,2845,142.25,Late,0.12,35,No,94,None,2023-01-01,2023-01-02
240,378710077,4645,3469,1176,58.8,Late,0.22,25,No,73,None,2023-01-01,2023-01-02
241,116816569,17755,13947,3808,190.4,Very Late,0.12,15,Yes,89,TILA,2023-01-01,2023-01-02
242,107654909,6072,4922,1150,57.5,Late,0.22,25,No,95,Late Fee Issues,2023-01-01,2023-01-02
243,943120422,4854,4662,192,9.6,On-Time,0.14,15,No,82,None,2023-01-01,2023-01-02
244,318520688,7662,4988,2674,133.7,Very Late,0.23,15,No,66,None,2023-01-01,2023-01-02
245,736028516,9514,5669,3845,192.25,Very Late,0.24,35,No,73,Late Fee Issues,2023-01-01,2023-01-02
246,249638768,5708,3131,2577,128.85,On-Time,0.12,0,No,86,None,2023-01-01,2023-01-02
247,258428240,14694,7517,7177,358.85,Very Late,0.17,35,No,51,None,2023-01-01,2023-01-02
248,172073914,12524,12433,91,4.55,Very Late,0.25,15,No,81,None,2023-01-01,2023-01-02
249,570575216,9456,5222,4234,211.7,On-Time,0.17,15,Yes,73,None,2023-01-01,2023-01-02
250,111506305,7212,6732,480,24.0,Very Late,0.23,0,No,58,None,2023-01-01,2023-01-02
251,791648731,16224,9632,6592,329.6,On-Time,0.19,25,No,53,None,2023-01-01,2023-01-02
252,321099573,10970,5518,5452,272.6,On-Time,0.16,25,No,66,None,2023-01-01,2023-01-02
253,241951830,19920,11792,8128,406.4,Late,0.14,15,Yes,66,None,2023-01-01,2023-01-02
254,223035620,4625,3550,1075,53.75,Late,0.13,25,No,99,None,2023-01-01,2023-01-02
255,508327903,13314,10801,2513,125.65,Very Late,0.21,15,No,97,None,2023-01-01,2023-01-02
256,779746784,10973,10175,798,39.9,Very Late,0.16,0,Yes,79,None,2023-01-01,2023-01-02
257,677034624,11577,7007,4570,228.5,On-Time,0.18,0,No,89,Late Fee Issues,2023-01-01,2023-01-02
258,876124029,11070,7121,3949,197.45,Very Late,0.17,15,No,60,None,2023-01-01,2023-01-02
259,722318721,11666,11062,604,30.2,On-Time,0.19,0,No,70,None,2023-01-01,2023-01-02
260,232863028,6600,3621,2979,148.95,On-Time,0.23,35,No,70,None,2023-01-01,2023-01-02
261,949472217,9783,9186,597,29.85,Very Late,0.25,35,No,67,Late Fee Issues,2023-01-01,2023-01-02
262,327174085,16226,14694,1532,76.6,On-Time,0.16,0,No,78,None,2023-01-01,2023-01-02
263,498129398,12146,11633,513,25.65,Late,0.22,15,No,73,None,2023-01-01,2023-01-02
264,839316547,7971,6445,1526,76.3,Very Late,0.21,15,No,59,None,2023-01-01,2023-01-02
265,447262390,16490,14613,1877,93.85,Late,0.19,0,No,94,None,2023-01-01,2023-01-02
266,149905866,15951,11979,3972,198.6,Very Late,0.24,25,No,66,None,2023-01-01,2023-01-02
267,613911991,15312,11469,3843,192.15,On-Time,0.13,35,No,67,None,2023-01-01,2023-01-02
268,328233509,4990,3291,1699,84.95,Very Late,0.12,25,No,91,None,2023-01-01,2023-01-02
269,605874711,8299,7270,1029,51.45,Late,0.23,15,No,97,None,2023-01-01,2023-01-02
270,668249203,15997,11402,4595,229.75,On-Time,0.17,15,No,69,None,2023-01-01,2023-01-02
271,673505733,16472,10692,5780,289.0,Very Late,0.23,25,No,86,None,2023-01-01,2023-01-02
272,739196117,7380,6664,716,35.8,Very Late,0.23,0,Yes,94,None,2023-01-01,2023-01-02
273,253651082,7757,6616,1141,57.05,Very Late,0.11,25,Yes,67,None,2023-01-01,2023-01-02
